"no","universitas"
"1","Akademi Akuntansi dan Manajemen Pembangunan"
"2","Akademi Akuntansi Muhammadiyah Klaten"
"3","Akademi Akuntansi Profesional Indonesia"
"4","Akademi Akuntansi YPK Medan"
"5","Akademi Akupunktur Surabaya"
"6","Akademi Analis Farmasi dan Makanan Banda Aceh"
"7","Akademi Analis Kesehatan An‐Nasher"
"8","Akademi Analis Kesehatan Delima Husada Gresik"
"9","Akademi Analis Kesehatan Harapan Bangsa"
"10","Akademi Analis Kesehatan Malang"
"11","Akademi Analis Kesehatan Manggala Yogyakarta"
"12","Akademi Analis Kesehatan Muhammadiyah Makassar"
"13","Akademi Analis Kesehatan Putra Jaya Batam"
"14","Akademi Bahasa Asing BSI Jakarta"
"15","Akademi Bahasa Asing Nurdin Hamzah"
"16","Akademi Bahasa Asing RA Kartini Surakarta"
"17","Akademi Farmasi Bina Farmasi"
"18","Akademi Farmasi Hang Tuah Jakarta"
"19","Akademi Farmasi Kaltara Tarakan"
"20","Akademi Farmasi Kusuma Husada Purwokerto"
"21","Akademi Farmasi Medika Nusantara"
"22","Akademi Farmasi Putera Indonesia Malang"
"23","Akademi Farmasi YPPM Mandiri"
"24","Akademi Kebidanan Abdurahman"
"25","Akademi Kebidanan Agatha"
"26","Akademi Kebidanan Agung Husada"
"27","Akademi Kebidanan Aisyah Kabupaten Pangkep"
"28","Akademi Kebidanan Alifa Pringsewu Lampung"
"29","Akademi Kebidanan Alifah Padang"
"30","Akademi Kebidanan Amanah Muara Bungo"
"31","Akademi Kebidanan An-Nur Purwodadi"
"32","Akademi Kebidanan Arta Kabanjahe"
"33","Akademi Kebidanan Assyifa Tangerang"
"34","Akademi Kebidanan Bangka Belitung"
"35","Akademi Kebidanan Baruna Husada"
"36","Akademi Kebidanan Bhakti Asih Ciledug"
"37","Akademi Kebidanan Bhakti Bangsa Bekasi"
"38","Akademi Kebidanan Bhakti Nugraha"
"39","Akademi Kebidanan Bhakti Pertiwi Pemalang"
"40","Akademi Kebidanan Bina Husada Jember"
"41","Akademi Kebidanan Bina Sehat Nusantara, Bone"
"42","Akademi Kebidanan Budi Kemuliaan"
"43","Akademi Kebidanan Budi Mulia"
"44","Akademi Kebidanan Bunda Serumpun"
"45","Akademi Kebidanan Bunga Bangsa Idi"
"46","Akademi Kebidanan Bunga Bangsaku Bangka"
"47","Akademi Kebidanan Cipta Daya Husada"
"48","Akademi Kebidanan Citama Raya Depok"
"49","Akademi Kebidanan Citra Medika Surakarta"
"50","Akademi Kebidanan Dharma Husada Kediri"
"51","Akademi Kebidanan Farama Mulya"
"52","Akademi Kebidanan Gatra Buana Gurabati Tidore"
"53","Akademi Kebidanan Graha Ananda"
"54","Akademi Kebidanan Hafsyah Medan"
"55","Akademi Kebidanan Hang Jebat"
"56","Akademi Kebidanan Harapan Bunda Bima"
"57","Akademi Kebidanan Harapan Ibu Pekalongan"
"58","Akademi Kebidanan Henderson"
"59","Akademi Kebidanan Ibrahimy Situbondo"
"60","Akademi Kebidanan Indragiri"
"61","Akademi Kebidanan Jember"
"62","Akademi Kebidanan Keris Husada"
"63","Akademi kebidanan Kholisatur Rahmi"
"64","Akademi Kebidanan La Tansa Mashiro"
"65","Akademi Kebidanan Mandiri Gresik"
"66","Akademi Kebidanan Matorkis"
"67","Akademi Kebidanan Mayapada Gading Persada"
"68","Akademi Kebidanan Medica Bakti Persada"
"69","Akademi Kebidanan Muhammadiyah Kotim"
"70","Akademi Kebidanan Muhammadiyah Palopo"
"71","Akademi Kebidanan Nadhirah"
"72","Akademi Kebidanan Ngudia Husada Madura"
"73","Akademi Kebidanan Nurul Hasanah"
"74","Akademi Kebidanan Panti Wilasa"
"75","Akademi Kebidanan Pelita Persada"
"76","Akademi Kebidanan Petro Mandau Husada"
"77","Akademi Kebidanan Prestasi Agung"
"78","Akademi Kebidanan Rangga Husada Prabumulih"
"79","Akademi Kebidanan Rizki Patya"
"80","Akademi Kebidanan Santa Elisabeth Kefamenanu"
"81","Akademi Kebidanan Sari Mutiara"
"82","Akademi Kebidanan Suka Wangi Bekasi"
"83","Akademi Kebidanan Tiara Bunda"
"84","Akademi Kebidanan Tuti Rahayu"
"85","Akademi Kebidanan Wahana Husada Bandar Jaya"
"86","Akademi Kebidanan Wijaya Kusuma Malang"
"87","Akademi Kebidanan Wiyata Mitra Husada Nganjuk"
"88","Akademi Kebidanan Yayasan Kesehatan Nasional"
"89","Akademi Kebidanan YLPP Purwokerto"
"90","Akademi Keperawatan 17 Karanganyar"
"91","Akademi Keperawatan Aisyiyah Padang"
"92","Akademi Keperawatan Alkautsar Temanggung"
"93","Akademi Keperawatan Andakara"
"94","Akademi Keperawatan Bina Insan Jakarta"
"95","Akademi Keperawatan Binalita Sudama"
"96","Akademi Keperawatan Buntet Pesantren"
"97","Akademi Keperawatan Gunung Maria"
"98","Akademi Keperawatan Harapan Mama Deli Serdang"
"99","Akademi Keperawatan Ibnu Sina Kota Sabang"
"100","Akademi Keperawatan Indah"
"101","Akademi Keperawatan Insan Husada Surakarta"
"102","Akademi Keperawatan Intan Martapura"
"103","Akademi Keperawatan Kamanre"
"104","Akademi Keperawatan Kerta Cendekia Sidoarjo"
"105","Akademi Keperawatan Kesdam II Sriwijaya"
"106","Akademi Keperawatan Manggala Husada"
"107","Akademi Keperawatan Medistra Lubuk Pakam"
"108","Akademi Keperawatan Muhammadiyah Bireuen"
"109","Akademi Keperawatan Ngesti Waluyo Parakan"
"110","Akademi Keperawatan Pembina"
"111","Akademi Keperawatan Pemkab Tapanuli Utara"
"112","Akademi Keperawatan PPNI Kendari"
"113","Akademi Keperawatan Royhan"
"114","Akademi Keperawatan RS Marthen Indey"
"115","Akademi Keperawatan Sandi Karsa"
"116","Akademi Keperawatan Setih Setio"
"117","Akademi Keperawatan ST Elisabeth Lela"
"118","Akademi Keperawatan Teladan Bahagia"
"119","Akademi Keperawatan Teungku Fakinah Banda Aceh"
"120","Akademi Keperawatan Yayasan Pendidikan Imam Bonjol Majalengka"
"121","Akademi Keperawatan YPIB Majalengka"
"122","Akademi Kesehatan Asih Husada"
"123","Akademi Kesehatan Gigi Kendari"
"124","Akademi Kesehatan John Paul II Pekanbaru"
"125","Akademi Kesehatan Lingkungan Mandala Waluya"
"126","Akademi Kesehatan rustida"
"127","Akademi Kesejahteraan Sosial AKK"
"128","Akademi Kesejahteraan Sosial Ibu Kartini"
"129","Akademi Keuangan dan Bisnis Indonesia Internasional"
"130","Akademi Keuangan dan Perbankan Borobudur"
"131","Akademi Keuangan dan Perbankan Denpasar"
"132","Akademi Keuangan dan Perbankan Effata Kupang"
"133","Akademi Komunikasi Media Radio dan TV Jakarta"
"134","Akademi Komunikasi Yogyakarta"
"135","Akademi Komunitas Olat Maras"
"136","AMIK BSI Bogor"
"137","AMIK Imelda"
"138","AMIK Lembah Dempo"
"139","AMIK Logika"
"140","AMIK Serang"
"141","AMIK Tri Dharma"
"142","AMIK Ketapang"
"143","Akademi Manajemen Perpajakan Indonesia Blitar"
"144","Akademi Manajemen Perusahaan Panca Bhakti"
"145","Akademi Maritim Aceh Darussalam"
"146","Akademi Maritim Belawan"
"147","Akademi Maritim Cirebon"
"148","Akademi Maritim Sapta Samudra"
"149","Akademi Maritim Yogyakarta"
"150","Akademi Pariwisata 17 Agustus 1945 Surabaya"
"151","Akademi Pariwisata Buana Wisata Yogyakarta"
"152","Akademi Pariwisata Bunda Padang"
"153","Akademi Pariwisata Citra Buana Indonesia"
"154","Akademi Pariwisata Manado"
"155","Akademi Pariwisata Muhammadiyah Jember"
"156","Akademi Pariwisata Patria Indonesia"
"157","Akademi Pariwisata Petrus Kafiar Biak"
"158","Akademi Pariwisata Sandhy Putra"
"159","Akademi Pariwisata Sinar Surya"
"160","Akademi Perekam Medik dan Informatika Kesehatan Imelda"
"161","Akademi Perpajakan Padang (AKAP) Bekasi"
"162","Akademi Pertanian Yogyakarta"
"163","Akademi Peternakan Karanganyar"
"164","Akademi Sekretari dan Manajemen Widya Dharma"
"165","Akademi Sekretari dan Manajemen BSI Jakarta"
"166","Akademi Sekretari dan Manajemen Don Bosco"
"167","Akademi Sekretari dan Manajemen Lepisi"
"168","Akademi Sekretari Manajemen Cendana"
"169","Akademi Sekretari Manajemen Indonesia Klabat"
"170","Akademi Teknik Elektromedik Andakara"
"171","Akademi Teknik Elektromedik Kupula Aceh"
"172","Akademi Teknik Elektromedik Muhammadiyah Makassar"
"173","Akademi Teknik Perkapalan Veteran"
"174","Akademi Teknik Radiodiagnostik dan Radioterapi Muhammadiyah Makassar"
